site,name,link,salary_min,salary_max,salary_curr
https://russia.superjob.ru,"Системный аналитик (Middle, Senior)",https://superjob.ru/vakansii/sistemnyj-analitik-36099860.html,,,
https://russia.superjob.ru,Учитель информатики,https://superjob.ru/vakansii/uchitel-informatiki-36344427.html,25000,,руб.
https://russia.superjob.ru,"DevOps инженер (США, удалённо)",https://superjob.ru/vakansii/devops-inzhener-36096637.html,210000,,руб.
https://russia.superjob.ru,Преподаватель ИТ-технологий,https://superjob.ru/vakansii/prepodavatel-it-tehnologij-36151544.html,78000,,руб.
https://russia.superjob.ru,Специалист по информационным системам,https://superjob.ru/vakansii/specialist-po-informacionnym-sistemam-36146717.html,60000,,руб.
https://russia.superjob.ru,Программист-исследователь,https://superjob.ru/vakansii/programmist-issledovatel-36144473.html,80000,90000,руб.
https://russia.superjob.ru,"Тестировщик ПО, администратор Win/Linux",https://superjob.ru/vakansii/testirovschik-po-36093293.html,,120000,руб.
https://russia.superjob.ru,Senior PHP Developer (Back-End),https://superjob.ru/vakansii/senior-php-developer-36135973.html,,,
https://russia.superjob.ru,Системный администратор,https://superjob.ru/vakansii/sistemnyj-administrator-36222022.html,30000,,руб.
https://russia.superjob.ru,SQL Developer,https://superjob.ru/vakansii/sql-developer-36328443.html,,,
https://russia.superjob.ru,"Frontend JS, Vue, Vuex, SPA-разработчик",https://superjob.ru/vakansii/frontend-js-35351799.html,150000,180000,руб.
https://russia.superjob.ru,Ведущий системный администратор Windows,https://superjob.ru/vakansii/veduschij-sistemnyj-administrator-windows-33468611.html,80000,,руб.
https://russia.superjob.ru,CTO / Team Lead,https://superjob.ru/vakansii/cto-36219064.html,,,
https://russia.superjob.ru,DevOps инженер,https://superjob.ru/vakansii/devops-inzhener-36037456.html,,,
https://russia.superjob.ru,Ведущий веб-аналитик,https://superjob.ru/vakansii/veduschij-veb-analitik-36181150.html,,,
https://russia.superjob.ru,"Data Scientist (США, удалённо)",https://superjob.ru/vakansii/data-scientist-36096459.html,210000,,руб.
https://russia.superjob.ru,Web Developer,https://superjob.ru/vakansii/web-developer-36327987.html,,,
https://russia.superjob.ru,Разработчик технического зрения (Computer Vision / Image Processing),https://superjob.ru/vakansii/razrabotchik-tehnicheskogo-zreniya-34233000.html,,,
https://russia.superjob.ru,Инженер ЧМИ (SCADA),https://superjob.ru/vakansii/inzhener-chmi-36322822.html,57000,70000,руб.
https://russia.superjob.ru,Программист,https://superjob.ru/vakansii/programmist-36096165.html,,,
https://russia.superjob.ru,Доцент / Профессор,https://superjob.ru/vakansii/docent-34389482.html,,,
https://russia.superjob.ru,"Инженер веб-сервисов, системный администратор",https://superjob.ru/vakansii/inzhener-veb-servisov-35947514.html,,,
https://russia.superjob.ru,Инженер-программист,https://superjob.ru/vakansii/inzhener-programmist-34826753.html,50000,,руб.
https://russia.superjob.ru,Администратор баз данных PostgreSQL,https://superjob.ru/vakansii/administrator-baz-dannyh-postgresql-36128342.html,,,
https://russia.superjob.ru,Инженер по нагрузочному тестированию / QA Load,https://superjob.ru/vakansii/inzhener-po-nagruzochnomu-testirovaniyu-36083559.html,,,
https://russia.superjob.ru,"Инженер, техник",https://superjob.ru/vakansii/inzhener-33089687.html,35000,,руб.
https://russia.superjob.ru,Учитель информатики,https://superjob.ru/vakansii/uchitel-informatiki-34123084.html,,,
https://russia.superjob.ru,Программист Qt/С++,https://superjob.ru/vakansii/programmist-qt-36068161.html,90000,,руб.
https://russia.superjob.ru,Инженер-программист C#/C++,https://superjob.ru/vakansii/inzhener-programmist-c-36189821.html,50000,,руб.
https://russia.superjob.ru,Разработчик бекэнда,https://superjob.ru/vakansii/razrabotchik-bekenda-36310274.html,150000,180000,руб.
https://russia.superjob.ru,"Senior Frontend-разработчик, Lead",https://superjob.ru/vakansii/senior-frontend-razrabotchik-36120962.html,170000,210000,руб.
https://russia.superjob.ru,Преподаватель школы программирования,https://superjob.ru/vakansii/prepodavatel-shkoly-programmirovaniya-36119379.html,25000,30000,руб.
https://russia.superjob.ru,Аналитик,https://superjob.ru/vakansii/analitik-33865766.html,,,
https://russia.superjob.ru,Программист (junior),https://superjob.ru/vakansii/programmist-36186399.html,,,
https://russia.superjob.ru,Продуктовый аналитик,https://superjob.ru/vakansii/produktovyj-analitik-33473129.html,,,
https://russia.superjob.ru,Системный администратор,https://superjob.ru/vakansii/sistemnyj-administrator-35047280.html,,35000,руб.
https://russia.superjob.ru,Куратор школы программирования,https://superjob.ru/vakansii/kurator-shkoly-programmirovaniya-36119622.html,25000,30000,руб.
https://russia.superjob.ru,QA-engineer / Автоматизатор / Специалист (QA-auto),https://superjob.ru/vakansii/qa-engineer-36301140.html,,160000,руб.
https://russia.superjob.ru,Старший аналитик в отдел планирования,https://superjob.ru/vakansii/starshij-analitik-v-otdel-planirovaniya-35583105.html,,,
https://russia.superjob.ru,DevOps инженер,https://superjob.ru/vakansii/devops-inzhener-36053099.html,120000,,руб.
https://russia.superjob.ru,Backend-разработчик (начинающий),https://superjob.ru/vakansii/backend-razrabotchik-36182807.html,30000,,руб.
https://russia.superjob.ru,Врач-статистик,https://superjob.ru/vakansii/vrach-statistik-36288689.html,80000,,руб.
https://russia.superjob.ru,Программист AI,https://superjob.ru/vakansii/programmist-ai-36116826.html,70000,,руб.
